,View Description,,,,,,,,
,,,,,,,,,
,XAML File,View Code,View Name,Type,Title,Value,"Sort
(Ascending / Descending)","Categorized
(Yes/No)",View Selection / Column Description
,,,,,,,,,
,LoginWindow.xaml,V01,Login,1. View,Đăng nhập,,,,"Màn hình đăng nhập hệ thống. Yêu cầu Username và Password."
,,V01,Login,2. Column,Username,[Username],,,Tên đăng nhập (bắt buộc)
,,V01,Login,2. Column,Password,[Password],,,Mật khẩu (bắt buộc - masked)
,,V01,Login,3. Action,Login Button,btnLogin,,,"Xác thực đăng nhập. Refer to UC 1.1.1 ""Login"""
,,V01,Login,3. Action,Remember Me,chkRemember,,,Ghi nhớ phiên đăng nhập
,,,,,,,,,
,HomeView.xaml,V02,Home/Dashboard,1. View,Trang chủ,,,,"Màn hình chính sau khi đăng nhập. Hiển thị dashboard tổng quan."
,,V02,Home/Dashboard,2. Column,System Title,[Title],,,Hiển thị: "Hệ thống quản lý tiệc cưới"
,,V02,Home/Dashboard,2. Column,Quick Book Button,[btnQuickBook],,,Nút "Đặt Tiệc Ngay" - navigate to AddWeddingView
,,V02,Home/Dashboard,2. Column,Image Carousel,[CurrentImage],,,Slideshow hình ảnh sảnh/tiệc cưới
,,V02,Home/Dashboard,2. Column,Recent Bookings,[DataGrid],Descending,,Danh sách tiệc cưới gần đây (mới nhất trước)
,,V02,Home/Dashboard,2. Column,Calendar,[calUpcoming],,,Lịch tiệc cưới sắp tới trong tháng
,,V02,Home/Dashboard,3. Action,Previous Image,btnPrevious,,,Xem ảnh trước trong carousel
,,V02,Home/Dashboard,3. Action,Next Image,btnNext,,,Xem ảnh sau trong carousel
,,,,,,,,,
,HallView.xaml,V03,Hall Management,1. View,Quản lý Sảnh,,,,"Màn hình CRUD sảnh. Select all ""Hall"" items."
,,V03,Hall Management,2. Column,Hall Image,[Image],,,Hình ảnh sảnh (100x100 pixel)
,,V03,Hall Management,2. Column,Hall Name,[HallName],Ascending,,Tên sảnh (bắt buộc, unique)
,,V03,Hall Management,2. Column,Hall Type,[HallTypeId],Ascending,Yes,Loại sảnh (dropdown từ HallType)
,,V03,Hall Management,2. Column,Min Table Price,[MinTablePrice],,,Đơn giá bàn tối thiểu (auto-fill từ HallType)
,,V03,Hall Management,2. Column,Max Table Count,[MaxTableCount],,,Số bàn tối đa (bắt buộc, > 0)
,,V03,Hall Management,2. Column,Note,[Note],,,Ghi chú (tùy chọn)
,,V03,Hall Management,3. Action,Reset,btnReset,,,"Reset form về trạng thái ban đầu"
,,V03,Hall Management,3. Action,Select Image,btnSelectImage,,,"Chọn hình ảnh cho sảnh"
,,V03,Hall Management,3. Action,Add/Edit/Delete,ActionComboBox,,,"Refer to UC 2.1.2 ""Manage Hall"""
,,V03,Hall Management,3. Action,Search,txtSearch + cboSearchBy,,,"Tìm kiếm theo: Tên sảnh, Loại sảnh"
,,,,,,,,,
,HallTypeView.xaml,V04,HallType Management,1. View,Quản lý Loại Sảnh,,,,"Màn hình CRUD loại sảnh. Select all ""HallType"" items."
,,V04,HallType Management,2. Column,Hall Type Name,[HallTypeName],Ascending,,Tên loại sảnh (bắt buộc, unique)
,,V04,HallType Management,2. Column,Min Table Price,[MinTablePrice],,,Đơn giá bàn tối thiểu (>= 10,000 VNĐ)
,,V04,HallType Management,3. Action,Reset,btnReset,,,"Reset form về trạng thái ban đầu"
,,V04,HallType Management,3. Action,Add/Edit/Delete,ActionComboBox,,,"Refer to UC 2.1.1 ""Manage HallType"""
,,V04,HallType Management,3. Action,Search,txtSearch + cboSearchBy,,,"Tìm kiếm theo: Tên loại sảnh, Đơn giá"
,,,,,,,,,
,ShiftView.xaml,V05,Shift Management,1. View,Quản lý Ca,,,,"Màn hình CRUD ca. Select all ""Shift"" items."
,,V05,Shift Management,2. Column,Shift Name,[ShiftName],Ascending,,Tên ca (bắt buộc, unique). VD: "Trưa", "Tối"
,,V05,Shift Management,2. Column,Start Time,[StartTime],,,Thời gian bắt đầu (07:30 - 24:00)
,,V05,Shift Management,2. Column,End Time,[EndTime],,,Thời gian kết thúc (> StartTime)
,,V05,Shift Management,3. Action,Reset,btnReset,,,"Reset form về trạng thái ban đầu"
,,V05,Shift Management,3. Action,Add/Edit/Delete,ActionComboBox,,,"Refer to UC 2.1.3 ""Manage Shift"""
,,V05,Shift Management,3. Action,Search,txtSearch + cboSearchBy,,,"Tìm kiếm theo: Tên ca"
,,,,,,,,,
,FoodView.xaml,V06,Dish Management,1. View,Quản lý Món Ăn,,,,"Màn hình CRUD món ăn. Select all ""Dish"" items. Max 100 món."
,,V06,Dish Management,2. Column,Dish Name,[DishName],Ascending,,Tên món ăn (bắt buộc, unique)
,,V06,Dish Management,2. Column,Unit Price,[UnitPrice],,,Đơn giá (bắt buộc, > 0)
,,V06,Dish Management,2. Column,Note,[Note],,,Ghi chú (tùy chọn)
,,V06,Dish Management,3. Action,Reset,btnReset,,,"Reset form về trạng thái ban đầu"
,,V06,Dish Management,3. Action,Add/Edit/Delete,ActionComboBox,,,"Refer to UC 2.1.4 ""Manage Dish"""
,,V06,Dish Management,3. Action,Search,txtSearch + cboSearchBy,,,"Tìm kiếm theo: Tên món, Đơn giá"
,,,,,,,,,
,ServiceView.xaml,V07,Service Management,1. View,Quản lý Dịch Vụ,,,,"Màn hình CRUD dịch vụ. Select all ""Service"" items."
,,V07,Service Management,2. Column,Service Name,[ServiceName],Ascending,,Tên dịch vụ (bắt buộc, unique)
,,V07,Service Management,2. Column,Unit Price,[UnitPrice],,,Đơn giá (>= 0, cho phép dịch vụ miễn phí)
,,V07,Service Management,2. Column,Note,[Note],,,Ghi chú (tùy chọn)
,,V07,Service Management,3. Action,Reset,btnReset,,,"Reset form về trạng thái ban đầu"
,,V07,Service Management,3. Action,Add/Edit/Delete,ActionComboBox,,,"Refer to UC 2.1.5 ""Manage Service"""
,,V07,Service Management,3. Action,Search,txtSearch + cboSearchBy,,,"Tìm kiếm theo: Tên dịch vụ, Đơn giá"
,,,,,,,,,
,WeddingView.xaml,V08,Booking List,1. View,Danh sách Tiệc Cưới,,,,"Màn hình xem/tìm kiếm tất cả tiệc cưới. Select all ""Booking"" items."
,,V08,Booking List,2. Column,Groom Name,[GroomName],Ascending,,Filter: Tên chú rể (ComboBox editable)
,,V08,Booking List,2. Column,Bride Name,[BrideName],Ascending,,Filter: Tên cô dâu (ComboBox editable)
,,V08,Booking List,2. Column,Hall Name,[HallId],Ascending,Yes,Filter: Tên sảnh (ComboBox)
